atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2025,2025_DD,2026,2026_DD,win_rate,profit_factor,n_trades,Total,Total_L,Total_S,Total_DD
3,3,0.5,0.5,10,60,4.0,4.0,3.0,4.0,78.42997741699219,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.42424242424242425,1.0131826821184136,33,-5.6000213623046875,43.13999950885773,-37.53999614715576,-67.5999755859375
2,3,0.5,1.0,10,60,5.0,4.0,3.0,3.0,54.53999710083008,-29.79998779296875,-43.529998779296875,-32.29998779296875,0.32142857142857145,1.0263364769721792,28,11.009998321533203,34.30000066757202,-24.590004920959473,-32.29998779296875
3,2,1.0,0.5,10,60,5.0,4.0,4.0,3.0,-13.18000602722168,-27.5,-96.12000274658203,-55.5999755859375,0.17647058823529413,0.6447200964788987,17,-109.30000877380371,-14.700000047683716,-97.00000190734863,-55.5999755859375
2,2,1.0,1.0,10,60,4.0,4.0,3.0,4.0,0.42998504638671875,-47.0,-31.79999542236328,-47.0999755859375,0.32,0.9494029178122508,25,-31.370010375976562,-6.960001975297928,-11.80999755859375,-47.0999755859375
3,2,0.5,1.0,10,60,4.0,5.0,3.0,4.0,-65.52999877929688,-47.0,-3.299999237060547,-47.0999755859375,0.36666666666666664,0.894343614390849,30,-68.82999801635742,25.87000036239624,-68.00999307632446,-47.0999755859375
3,3,1.0,1.0,10,60,4.0,5.0,4.0,3.0,-79.52000427246094,-33.4000244140625,-94.12999725341797,-55.5999755859375,0.21428571428571427,0.6448214157633875,28,-173.6500015258789,-46.59000029414892,-121.95999717712402,-55.5999755859375
2,2,0.5,0.5,10,60,5.0,4.0,4.0,3.0,52.30997848510742,-27.5,-96.12000274658203,-55.5999755859375,0.27586206896551724,0.8718423604558384,29,-43.81002426147461,-13.899999737739563,-38.7099928855896,-55.5999755859375
3,2,0.5,0.5,10,60,5.0,5.0,4.0,4.0,-76.25001525878906,-58.0,-89.83000946044922,-59.29998779296875,0.25,0.6286160863029762,24,-166.08002471923828,-35.899999499320984,-139.9799952507019,-59.29998779296875
2,2,1.0,1.0,10,60,4.0,5.0,4.0,4.0,-115.77999877929688,-47.0,-31.79999542236328,-47.0999755859375,0.21739130434782608,0.7250859154485566,23,-147.57999420166016,-44.69000223278999,-67.30999565124512,-47.0999755859375
2,2,1.0,0.5,10,60,5.0,5.0,4.0,4.0,-67.39000701904297,-41.5999755859375,-89.83000946044922,-59.29998779296875,0.1875,0.5594501993411121,16,-157.2200164794922,-14.700000047683716,-144.92000579833984,-59.29998779296875
2,3,1.0,0.5,10,60,4.0,5.0,4.0,3.0,-54.68000793457031,-33.4000244140625,-108.2199935913086,-41.39996337890625,0.2222222222222222,0.7085965528838504,27,-162.9000015258789,-39.68999969959259,-87.62999391555786,-41.39996337890625
3,2,0.5,0.5,10,60,5.0,4.0,4.0,3.0,53.30997848510742,-27.5,-96.12000274658203,-55.5999755859375,0.27586206896551724,0.8718423604558384,29,-42.81002426147461,-13.899999737739563,-38.7099928855896,-55.5999755859375
3,3,1.0,1.0,10,60,4.0,4.0,4.0,3.0,-28.41000747680664,-33.4000244140625,-94.12999725341797,-55.5999755859375,0.26666666666666666,0.7368232390230646,30,-122.54000473022461,-18.280000053346157,-99.15999794006348,-55.5999755859375
3,3,0.5,0.5,10,60,4.0,5.0,3.0,3.0,-9.81999397277832,-27.699951171875,-94.12000274658203,-41.39996337890625,0.3235294117647059,0.823569719012901,34,-103.93999671936035,17.16999924182892,-94.41999769210815,-41.39996337890625
3,3,0.5,0.5,10,60,4.0,5.0,4.0,3.0,-22.159997940063477,-33.4000244140625,-94.12000274658203,-41.39996337890625,0.3333333333333333,0.8171312073817284,33,-116.28000068664551,13.71999967098236,-94.41999769210815,-41.39996337890625
